Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
BRCA_TCGA-AR-A24X	0	1	3	4	6	0	0	0	1	4	1	0	1	11	2
BRCA_TCGA-AR-A24Z	0	9	1	2	1	6	0	0	0	2	2	6	15	12	0
BRCA_TCGA-AR-A250	3	19	6	12	10	4	3	0	1	2	7	61	17	10	0
BRCA_TCGA-AR-A251	5	2	5	0	8	0	4	0	3	16	21	32	93	13	3
BRCA_TCGA-AR-A252	0	7	1	0	0	2	0	0	2	3	4	0	0	0	0
BRCA_TCGA-AR-A254	1	5	2	4	9	1	0	0	0	0	4	4	9	3	0
BRCA_TCGA-AR-A255	7	9	0	6	0	7	0	0	3	5	2	31	6	13	0
BRCA_TCGA-AR-A256	5	0	8	6	2	7	5	1	5	10	28	27	81	32	7
BRCA_TCGA-AR-A2LE	11	0	3	36	8	4	0	18	0	0	43	271	0	0	0
BRCA_TCGA-AR-A2LH	1	0	4	7	7	0	1	3	0	0	10	36	2	0	0
BRCA_TCGA-AR-A2LK	0	8	3	2	5	0	5	1	2	1	7	4	5	5	0
BRCA_TCGA-AR-A2LL	2	5	0	1	16	0	0	0	0	2	6	0	5	0	0
BRCA_TCGA-AR-A2LM	0	0	0	2	2	0	0	0	0	3	1	0	6	3	0
BRCA_TCGA-AR-A2LN	0	1	2	6	3	0	1	4	3	0	16	17	1	0	0
BRCA_TCGA-AR-A2LO	0	2	1	1	0	0	0	0	0	0	0	3	8	0	2
BRCA_TCGA-AR-A2LQ	0	3	0	0	0	0	0	0	1	3	3	0	1	2	0
BRCA_TCGA-AR-A2LR	1	1	9	3	9	0	0	5	0	1	13	0	8	20	0
BRCA_TCGA-AR-A5QM	0	3	2	2	6	0	3	0	0	4	5	0	4	7	0
BRCA_TCGA-AR-A5QN	0	10	6	4	0	3	0	1	5	1	11	4	2	2	0
BRCA_TCGA-AR-A5QP	1	3	1	2	8	2	0	0	4	1	6	2	4	0	0
BRCA_TCGA-AR-A5QQ	1	9	0	0	0	10	0	0	11	6	8	11	30	6	4
BRCA_TCGA-B6-A0I1	0	6	0	5	24	2	0	1	1	0	1	4	25	11	0
BRCA_TCGA-B6-A0IH	0	3	10	4	4	0	0	2	2	0	6	1	5	4	0
BRCA_TCGA-B6-A0RH	0	1	0	2	14	3	0	4	0	0	1	13	7	0	0
BRCA_TCGA-B6-A0RL	1	15	1	3	0	11	0	2	2	0	8	15	4	5	2
BRCA_TCGA-B6-A0RM	0	6	2	1	5	3	0	5	2	0	2	5	3	2	0
BRCA_TCGA-B6-A0RN	0	6	1	2	6	4	1	0	2	2	0	1	4	3	1
BRCA_TCGA-B6-A0RO	0	0	1	6	0	7	2	0	0	4	9	2	11	0	1
BRCA_TCGA-B6-A0RP	0	3	4	0	0	0	0	0	1	1	10	0	5	6	0
BRCA_TCGA-B6-A0RQ	1	0	4	3	3	0	0	2	1	5	14	17	0	4	2
BRCA_TCGA-B6-A0RT	2	7	1	2	0	0	2	3	4	1	2	19	25	4	0
BRCA_TCGA-B6-A0RU	2	5	4	6	0	0	2	0	3	6	2	6	15	5	2
BRCA_TCGA-B6-A0RV	2	2	0	3	11	0	0	1	1	0	0	47	0	0	0
BRCA_TCGA-B6-A0WS	1	1	0	0	0	1	0	3	2	7	0	3	0	0	0
BRCA_TCGA-B6-A0WT	2	5	0	3	0	0	0	1	1	8	1	0	0	1	0
BRCA_TCGA-B6-A0WV	0	0	1	0	7	5	0	0	1	2	6	4	8	0	3
BRCA_TCGA-B6-A0WW	1	8	0	3	0	0	0	5	3	4	3	9	4	7	0
BRCA_TCGA-B6-A0WX	1	7	0	3	6	4	0	0	5	3	0	1	7	7	1
BRCA_TCGA-B6-A0WY	0	0	6	3	3	1	2	0	2	2	0	7	7	2	0
BRCA_TCGA-B6-A0WZ	1	0	3	7	0	2	0	7	0	0	11	63	1	0	0
BRCA_TCGA-B6-A0X0	1	4	0	2	0	1	0	0	0	2	2	2	5	6	0
BRCA_TCGA-B6-A0X1	1	1	0	6	0	7	2	0	8	7	15	17	28	0	0
BRCA_TCGA-B6-A0X4	3	4	0	5	0	0	0	0	0	0	5	0	3	2	0
BRCA_TCGA-B6-A0X5	6	0	2	9	1	2	0	1	4	5	0	5	0	13	0
BRCA_TCGA-B6-A0X7	0	3	0	2	4	3	0	0	0	1	3	4	0	3	0
BRCA_TCGA-B6-A1KN	6	3	4	0	10	5	1	0	1	6	12	4	8	12	0
