Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V
BRCA_TCGA-AC-A5XU	0	14	4	12	0	12	3	2	6	4	0	0	0	20	8	0	3	0	3	6	14	2
BRCA_TCGA-AC-A62V	5	18	4	7	2	12	0	0	7	3	1	1	8	5	6	1	0	0	19	1	1	5
BRCA_TCGA-AC-A62X	5	13	3	13	0	14	1	0	2	6	0	1	4	5	3	0	0	2	10	4	1	0
BRCA_TCGA-AC-A62Y	0	3	3	8	0	3	1	0	4	1	5	4	2	8	20	7	5	2	8	0	1	4
BRCA_TCGA-AC-A6IV	0	1	4	2	2	2	2	0	1	0	1	0	2	1	0	0	2	0	0	0	4	3
BRCA_TCGA-AC-A6IW	0	11	6	5	3	13	0	0	5	0	4	0	20	20	78	0	15	4	25	10	2	10
BRCA_TCGA-AC-A6IX	0	3	2	4	4	2	0	3	0	0	5	0	5	15	15	6	3	0	0	1	0	3
BRCA_TCGA-AC-A6NO	0	2	2	7	8	1	0	0	0	1	3	0	0	5	1	0	3	0	0	2	8	0
BRCA_TCGA-AC-A7VB	0	5	1	6	5	2	0	0	0	0	3	0	7	1	0	0	0	0	0	4	1	0
BRCA_TCGA-AC-A7VC	0	2	3	3	2	2	0	0	2	2	1	0	3	0	0	0	0	0	3	0	2	1
BRCA_TCGA-AC-A8OP	9	13	13	15	3	15	13	6	17	10	7	15	5	12	19	0	2	1	48	3	7	11
BRCA_TCGA-AC-A8OQ	0	8	10	16	9	0	3	2	0	2	0	3	10	11	10	6	9	5	17	7	4	5
BRCA_TCGA-AC-A8OR	0	4	0	1	3	4	0	0	0	0	0	5	2	0	1	0	3	0	2	0	3	4
BRCA_TCGA-AC-A8OS	0	0	2	7	0	5	0	3	4	3	5	0	4	9	10	2	0	3	8	0	7	7
BRCA_TCGA-AN-A0XL	3	1	2	4	2	5	3	0	0	2	2	0	3	5	0	0	1	0	1	2	4	0
BRCA_TCGA-AN-A0XN	5	6	4	5	1	2	5	0	12	8	4	4	7	4	15	2	18	7	37	0	23	6
BRCA_TCGA-AN-A0XO	0	2	5	2	1	0	0	0	0	1	3	0	0	6	4	3	8	0	6	0	0	2
BRCA_TCGA-AN-A0XP	1	2	1	1	1	3	0	0	1	4	0	2	0	1	4	4	2	2	3	0	0	2
BRCA_TCGA-AN-A0XR	0	1	0	3	4	3	0	0	1	0	0	1	4	2	4	0	0	0	7	0	5	3
BRCA_TCGA-AN-A0XS	0	1	3	1	4	3	0	2	0	0	0	1	2	1	4	1	1	0	0	0	4	4
BRCA_TCGA-AN-A0XT	0	2	1	5	0	1	0	0	2	1	0	2	7	0	1	0	0	0	0	0	0	0
BRCA_TCGA-AN-A0XU	9	0	4	8	4	2	3	2	2	1	8	3	16	0	18	0	3	1	36	1	6	10
BRCA_TCGA-AN-A0XV	0	6	3	1	0	3	0	0	3	3	1	1	2	0	6	2	1	0	7	0	2	3
BRCA_TCGA-AN-A0XW	0	2	10	1	0	4	0	12	2	0	0	0	0	61	290	29	0	0	0	5	0	7
BRCA_TCGA-AO-A03M	0	0	55	8	0	1	0	16	0	0	0	0	0	208	794	53	0	0	0	4	0	11
BRCA_TCGA-AO-A03N	2	5	8	5	1	4	4	3	9	0	0	0	0	32	50	0	0	0	0	3	7	1
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0
BRCA_TCGA-AO-A03V	1	1	4	5	5	3	0	2	1	0	1	3	4	11	12	3	0	2	0	6	5	3
BRCA_TCGA-AO-A0JG	2	0	0	0	1	0	2	0	0	1	1	1	1	2	0	0	0	2	4	0	0	4
BRCA_TCGA-AO-A124	5	5	5	7	1	5	0	1	11	1	10	3	11	8	5	0	5	4	55	13	13	10
BRCA_TCGA-AO-A125	1	3	4	3	0	5	3	0	4	0	0	0	5	1	3	2	2	0	5	0	0	4
BRCA_TCGA-AO-A126	0	0	3	5	0	0	0	1	1	0	2	0	0	1	2	2	1	0	1	0	4	2
BRCA_TCGA-AO-A128	2	143	40	150	104	106	108	1	61	113	260	10	4	13	22	36	0	22	12	3	0	0
BRCA_TCGA-AO-A129	2	3	2	8	0	0	6	2	5	3	7	6	4	7	27	6	2	5	29	0	14	6
BRCA_TCGA-AO-A12A	0	3	0	1	0	4	0	1	0	0	0	0	0	2	2	2	0	0	0	0	2	2
BRCA_TCGA-AO-A12B	0	1	0	3	0	3	1	2	0	0	0	0	0	0	0	4	0	0	3	0	0	6
BRCA_TCGA-AO-A12D	0	0	8	4	0	4	0	2	1	0	1	0	3	19	16	5	0	0	2	3	3	2
BRCA_TCGA-AO-A12E	0	4	2	4	0	3	0	0	2	0	1	0	1	2	1	2	1	0	5	0	1	4
BRCA_TCGA-AO-A12F	1	6	2	1	1	6	0	4	2	0	0	3	0	0	0	0	6	0	4	0	0	4
BRCA_TCGA-AO-A12G	0	2	1	8	1	0	0	0	4	5	0	0	2	5	5	1	1	0	2	0	3	2
BRCA_TCGA-AO-A12H	0	1	2	8	4	1	0	0	0	1	2	0	0	3	0	0	2	0	4	0	1	1
BRCA_TCGA-AO-A1KO	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	2	0	0	3
BRCA_TCGA-AO-A1KR	1	0	3	3	0	7	0	0	7	0	6	1	3	0	10	14	2	0	22	0	10	0
BRCA_TCGA-AO-A1KT	0	3	3	3	0	5	1	0	3	7	3	0	0	1	1	3	0	0	6	0	3	9
BRCA_TCGA-AQ-A04H	3	10	5	15	3	6	0	0	3	6	0	0	6	0	6	3	0	1	5	0	8	1
BRCA_TCGA-AQ-A0Y5	0	6	6	7	1	6	1	1	0	3	1	0	1	5	13	2	1	0	10	0	4	2
BRCA_TCGA-AQ-A1H2	0	3	3	6	1	2	0	0	3	1	2	0	0	1	1	0	0	2	3	2	1	3
BRCA_TCGA-AQ-A1H3	0	4	0	8	0	7	0	0	0	1	0	0	2	0	0	0	0	2	2	0	0	1
BRCA_TCGA-AQ-A54O	1	2	0	1	0	4	0	1	2	0	1	0	0	1	2	2	2	1	0	0	3	2
BRCA_TCGA-AQ-A7U7	0	3	7	4	2	0	0	2	3	0	1	0	0	12	40	11	3	1	0	3	1	3
BRCA_TCGA-AR-A0TP	0	0	1	3	0	0	1	0	6	1	5	5	1	1	5	6	5	1	21	0	6	3
BRCA_TCGA-AR-A0TQ	0	2	2	2	2	6	0	1	2	0	0	2	0	10	5	2	0	0	2	2	5	4
BRCA_TCGA-AR-A0TR	0	2	3	1	2	10	0	0	5	2	4	0	0	2	1	1	0	0	3	0	0	6
BRCA_TCGA-AR-A0TS	1	5	0	2	0	10	4	1	2	0	2	3	6	4	10	3	2	2	18	0	7	8
BRCA_TCGA-AR-A0TT	0	6	4	4	2	4	0	1	2	5	1	0	10	6	10	4	1	1	7	0	0	7
BRCA_TCGA-AR-A0TU	5	5	1	7	0	0	1	0	4	2	0	6	6	0	10	7	4	1	26	0	3	2
BRCA_TCGA-AR-A0TV	1	2	2	11	4	6	0	0	6	3	0	1	8	6	5	0	5	0	10	1	6	2
BRCA_TCGA-AR-A0TW	4	4	4	9	1	3	1	0	5	0	3	4	0	1	3	1	4	0	12	0	6	2
BRCA_TCGA-AR-A0TX	0	1	29	2	0	4	0	10	2	0	0	0	0	73	237	35	2	0	0	0	3	9
BRCA_TCGA-AR-A0TZ	3	3	7	4	0	1	0	3	4	0	2	2	0	4	19	4	1	0	2	3	1	4
BRCA_TCGA-AR-A0U0	3	2	2	1	1	4	0	2	5	1	0	0	5	2	8	0	1	1	4	1	5	2
BRCA_TCGA-AR-A0U1	3	2	1	0	2	4	1	0	0	6	7	5	3	4	12	2	8	1	28	3	10	7
BRCA_TCGA-AR-A0U2	0	11	2	4	4	3	1	0	3	0	1	3	3	1	0	0	3	0	3	2	6	6
BRCA_TCGA-AR-A0U3	2	5	3	2	1	2	1	0	5	2	0	0	2	3	0	0	0	0	3	0	5	4
BRCA_TCGA-AR-A0U4	8	4	4	0	0	9	3	0	9	5	2	0	9	10	48	0	8	3	55	9	7	8
BRCA_TCGA-AR-A1AH	8	7	1	5	10	0	5	0	0	11	2	4	7	0	8	0	1	4	25	10	9	3
BRCA_TCGA-AR-A1AI	1	5	7	6	3	2	2	0	7	5	1	0	14	5	18	0	0	0	5	2	2	4
BRCA_TCGA-AR-A1AJ	0	2	3	7	0	0	0	2	3	0	3	0	0	9	14	7	1	0	0	0	0	2
BRCA_TCGA-AR-A1AK	0	3	6	6	0	2	0	0	0	2	1	1	7	11	26	2	0	0	3	7	2	3
