Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-AC-A2B8	4.01E-01	9.71E-01	1.58E+00	4.27E-01	6.37E-01	0.00E+00	5.22E-01	1.52E+00	1.34E+00	1.63E+00
BRCA_TCGA-AC-A2BK	0.00E+00	1.78E+00	1.35E+00	1.09E+00	2.01E+00	7.16E-01	9.19E-01	1.87E+00	9.89E-01	7.92E-01
BRCA_TCGA-AC-A2BM	5.54E-01	8.30E-01	5.47E-01	1.91E+00	1.04E+00	0.00E+00	0.00E+00	1.20E+00	6.46E-01	5.47E-01
BRCA_TCGA-AC-A2FB	0.00E+00	7.60E-01	8.33E-01	0.00E+00	3.89E-01	0.00E+00	7.49E-01	8.41E-01	0.00E+00	7.16E-01
BRCA_TCGA-AC-A2FF	0.00E+00	2.49E-01	0.00E+00	0.00E+00	0.00E+00	3.89E-01	2.49E-01	8.83E-01	0.00E+00	7.12E-01
BRCA_TCGA-AC-A2FG	0.00E+00	6.86E-01	2.12E+00	1.19E+00	3.00E-01	3.14E-01	9.71E-01	1.14E+00	4.16E-01	1.06E+00
BRCA_TCGA-AC-A2FK	0.00E+00	0.00E+00	2.00E-01	0.00E+00	0.00E+00	0.00E+00	1.33E-01	4.00E-01	0.00E+00	2.58E-01
BRCA_TCGA-AC-A2FO	7.37E-01	4.00E-01	6.67E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	9.24E-01	1.33E-01	1.17E+00
BRCA_TCGA-AC-A2QH	2.67E-01	7.92E-01	1.37E+00	0.00E+00	1.02E+00	5.93E-01	2.13E-01	6.05E-01	0.00E+00	8.62E-01
BRCA_TCGA-AC-A3HN	0.00E+00	5.12E-01	7.57E-01	3.42E-01	7.57E-01	0.00E+00	7.06E-01	1.22E+00	4.73E-01	5.00E-01
BRCA_TCGA-AC-A3OD	7.16E-01	9.52E-01	2.16E+00	1.00E-01	9.60E-01	1.48E+00	4.16E-01	8.31E-01	1.07E+00	1.16E+00
BRCA_TCGA-AC-A3QP	1.00E-01	8.14E-01	1.27E+00	5.58E-01	0.00E+00	0.00E+00	9.31E-01	1.15E+00	3.40E-01	6.01E-01
BRCA_TCGA-AC-A3QQ	5.93E-01	1.09E+00	1.93E+00	0.00E+00	1.14E+00	0.00E+00	0.00E+00	1.95E+00	4.16E-01	3.48E-01
BRCA_TCGA-AC-A3W5	3.07E-01	1.26E+00	4.20E+00	1.48E+00	1.83E+00	1.00E-01	1.00E-01	4.80E+00	1.27E+00	2.86E+00
BRCA_TCGA-AC-A3YI	5.16E-01	5.62E-01	8.84E-01	0.00E+00	5.67E-01	0.00E+00	8.06E-01	8.59E-01	5.97E-01	5.00E-01
BRCA_TCGA-AC-A3YJ	6.37E-01	1.15E+00	2.35E+00	0.00E+00	6.05E-01	1.47E+00	1.17E+00	1.32E+00	2.00E-01	1.05E+00
BRCA_TCGA-AC-A4ZE	0.00E+00	1.29E+00	1.26E+00	1.50E+00	1.37E+00	0.00E+00	8.70E-01	1.36E+00	6.00E-01	1.27E+00
BRCA_TCGA-AC-A5EH	1.02E+00	1.63E+00	3.36E+00	2.39E+00	1.53E+00	1.73E+00	1.74E+00	2.56E+00	1.36E+00	1.76E+00
BRCA_TCGA-AC-A5EI	0.00E+00	1.09E+00	1.51E+00	0.00E+00	5.16E-01	0.00E+00	6.63E-01	1.63E+00	8.94E-01	1.52E+00
BRCA_TCGA-AC-A5XS	4.27E+00	1.93E+00	5.30E+00	1.84E+00	1.06E+00	8.46E-01	0.00E+00	2.60E+00	7.60E+00	9.86E+00
BRCA_TCGA-AC-A5XU	7.61E-01	2.43E+00	1.85E+00	1.58E+00	2.26E+00	7.46E-01	7.75E-01	3.18E+00	4.71E-01	2.42E+00
BRCA_TCGA-AC-A62V	1.25E+00	1.73E+00	1.96E+00	8.59E-01	2.46E+00	0.00E+00	5.96E-01	2.20E+00	8.16E-01	1.48E+00
BRCA_TCGA-AC-A62X	1.05E+00	1.17E+00	1.52E+00	3.67E-01	4.00E-01	1.47E+00	1.25E+00	1.70E+00	9.00E-01	1.00E+00
BRCA_TCGA-AC-A62Y	0.00E+00	1.14E+00	2.77E+00	1.37E+00	1.09E+00	9.17E-01	1.47E+00	1.85E+00	8.70E-01	1.71E+00
BRCA_TCGA-AC-A6IV	4.00E-01	9.48E-01	1.09E+00	1.07E+00	3.06E-01	4.01E-01	6.00E-01	1.47E+00	4.27E-01	0.00E+00
BRCA_TCGA-AC-A6IW	0.00E+00	2.57E+00	5.33E+00	2.72E+00	2.33E+00	0.00E+00	2.21E+00	4.33E+00	9.91E-01	3.46E+00
BRCA_TCGA-AC-A6IX	0.00E+00	1.15E+00	2.88E+00	8.62E-01	9.33E-01	0.00E+00	6.80E-01	1.53E+00	0.00E+00	1.48E+00
BRCA_TCGA-AC-A6NO	0.00E+00	1.11E+00	1.46E+00	1.16E+00	1.13E+00	0.00E+00	6.90E-01	1.07E+00	4.73E-01	9.75E-01
BRCA_TCGA-AC-A7VB	1.00E-01	1.35E+00	1.39E+00	1.13E+00	1.33E+00	0.00E+00	0.00E+00	1.06E+00	4.00E-01	3.00E-01
BRCA_TCGA-AC-A7VC	3.40E-01	9.33E-01	8.72E-01	7.67E-01	8.36E-01	0.00E+00	4.90E-01	7.57E-01	3.06E-01	0.00E+00
BRCA_TCGA-AC-A8OP	2.39E+00	3.41E+00	2.30E+00	5.08E+00	2.65E+00	2.68E+00	1.86E+00	4.49E+00	1.25E+00	2.88E+00
BRCA_TCGA-AC-A8OQ	9.55E-01	3.01E+00	3.37E+00	0.00E+00	2.10E+00	1.22E+00	8.19E-01	2.41E+00	9.48E-01	3.12E+00
BRCA_TCGA-AC-A8OR	0.00E+00	1.52E+00	1.61E+00	3.40E-01	1.03E+00	8.19E-01	3.42E-01	1.28E+00	5.59E-01	2.24E-01
BRCA_TCGA-AC-A8OS	0.00E+00	1.02E+00	2.60E+00	9.21E-01	0.00E+00	0.00E+00	1.67E+00	1.18E+00	1.48E+00	9.24E-01
BRCA_TCGA-AN-A0XL	9.94E-01	9.36E-01	1.35E+00	8.95E-01	0.00E+00	4.28E-01	1.07E+00	1.20E+00	4.22E-01	2.00E-01
BRCA_TCGA-AN-A0XN	7.86E-01	1.23E+00	4.14E+00	2.76E+00	1.50E+00	8.17E-01	1.63E+00	2.18E+00	1.35E+00	1.96E+00
BRCA_TCGA-AN-A0XO	8.14E-01	1.20E+00	6.40E-01	0.00E+00	5.43E-01	0.00E+00	1.54E+00	1.20E+00	6.05E-01	1.50E+00
